predicted_species,temperature,K_estimated
Colp,15.0,0.08487003505906791
Colp,17.0,0.08631660410271828
Colp,19.0,0.08753964220303281
Colp,21.0,0.05384885543095856
Colp,23.0,0.04117911221228365
Colp,25.0,0.02307114818364291
Dexio,15.0,0.02624200474224872
Dexio,17.0,0.03156732031200797
Dexio,19.0,0.02990896146941799
Dexio,21.0,0.023229665327268702
Dexio,23.0,0.013226222772298353
Dexio,25.0,0.01578419251880872
Loxo,15.0,0.12568962066851824
Loxo,17.0,0.1423216416725508
Loxo,19.0,0.16364662632251256
Loxo,21.0,0.10409646570631194
Loxo,23.0,0.08204578668048959
Loxo,25.0,0.10712643058160799
Para,15.0,0.08389710270908514
Para,17.0,0.07756155745410838
Para,19.0,0.07456308024853725
Para,21.0,0.04948814568663437
Para,23.0,0.03791717591121892
Para,25.0,0.039221640452254146
Spiro,15.0,0.07589583291126861
Spiro,17.0,0.07675663168995739
Spiro,19.0,0.09809351870039922
Spiro,21.0,0.07354278129126926
Spiro,23.0,0.07618944741859376
Spiro,25.0,0.08886171303685805
Tetra,15.0,0.02663687150846122
Tetra,17.0,0.02079767051841635
Tetra,19.0,0.01955139867017075
Tetra,21.0,0.006854176464508805
Tetra,23.0,0.0071341911756598675
Tetra,25.0,0.004430946178833772
