species,temperature,K,K_relative_diff
Colp,15,0.03435851709662744,0.0
Colp,17,0.046047176206443136,0.3401968448447104
Colp,19,0.043225266727153336,0.2580655505471811
Colp,21,0.0217538614916641,-0.36685679913119956
Colp,23,0.01283756191977295,-0.6263644940301263
Colp,25,0.020225991192230473,-0.4113252578582382
Dexio,15,0.007145556452985658,0.0
Dexio,17,0.005664203350586161,-0.2073110907661413
Dexio,19,0.011377599703484974,0.5922622371461391
Dexio,21,0.01169851547343067,0.6371734728290657
Dexio,23,0.0040850565102254,-0.4283081328790672
Dexio,25,0.008299476128486336,0.16148772780579343
Loxo,15,0.16584311220903566,0.0
Loxo,17,0.12689250160115428,-0.23486420442222758
Loxo,19,0.08870029963524098,-0.46515536006440006
Loxo,21,0.12300022585620884,-0.25833382998038434
Loxo,23,0.014351810043626219,-0.9134615248564766
Loxo,25,0.12219349438553424,-0.263198255520456
Para,15,0.03260081477548329,0.0
Para,17,0.02380711146078887,-0.26973875883947307
Para,19,0.023199840774146063,-0.28836622845411264
Para,21,0.008004999993368856,-0.7544539899233181
Para,23,0.006732243127725179,-0.7934946358215558
Para,25,0.009742105100276422,-0.7011698889316487
Spiro,15,0.11347530047780356,0.0
Spiro,17,0.12166500121314816,0.07217165939072841
Spiro,19,0.10066634208067807,-0.11287882334914814
Spiro,21,0.07564926976059616,-0.33334153386627424
Spiro,23,0.05846366134814394,-0.4847895436101553
Spiro,25,0.12159124077759523,0.07152164625798185
Tetra,15,0.004713704173390339,0.0
Tetra,17,0.00598152190186952,0.2689642119749956
Tetra,19,0.00047320007417129455,-0.8996118430930415
Tetra,21,0.0007981676084878908,-0.8306708314463851
Tetra,23,0.0020113894483852583,-0.5732889943030592
Tetra,25,0.0005023528195222752,-0.8934271644881446
